pair,porosity_detected,slag_detected,both_detected,porosity_px,slag_px,dice_porosity,dice_slag
porosity__G110_1+slag__GS105,True,True,True,92,18,0.6269,0.4557
porosity__G110_2+slag__GS105_1,True,True,True,147,75,0.7273,0.6965
porosity__G110_3+slag__GS105_2,True,True,True,242,39,0.4026,0.2957
porosity__G120_1+slag__GS105_3,True,True,True,73,77,0.9931,0.9231
porosity__G120_2+slag__GS117,False,True,False,0,204,0.0,0.5461
porosity__G120_3+slag__GS117_1,True,True,True,36,63,0.0,0.0
porosity__G141_1+slag__GS117_2,True,True,True,41,87,0.975,0.9765
porosity__G141_2+slag__GS117_3,True,True,True,84,109,0.994,0.9817
